,Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
237,SGN,DAD,11:00 AM,12:30 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫2,178,000"
238,SGN,DAD,11:45 AM,1:15 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫2,178,000"
239,SGN,DAD,10:30 AM,12:00 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫2,318,000"
240,SGN,DAD,12:10 AM,1:40 AM,Vietnam Airlines,1 hr 30 min,2024-06-14,"₫1,227,000"
241,SGN,DAD,10:45 PM,12:05 AM+1,Vietnam Airlines,1 hr 20 min,2024-06-14,"₫1,227,000"
242,SGN,DAD,11:45 PM,1:05 AM+1,Vietnam Airlines,1 hr 20 min,2024-06-14,"₫1,227,000"
243,SGN,DAD,8:50 PM,10:15 PM,Vietravel Airlines,1 hr 25 min,2024-06-14,"₫1,240,040"
244,SGN,DAD,9:10 PM,10:35 PM,Bamboo Airways,1 hr 25 min,2024-06-14,"₫1,275,000"
245,SGN,DAD,9:05 PM,10:30 PM,Vietnam Airlines,1 hr 25 min,2024-06-14,"₫1,368,000"
246,SGN,DAD,9:15 PM,10:45 PM,Vietnam Airlines,1 hr 30 min,2024-06-14,"₫1,368,000"
247,SGN,DAD,9:25 PM,10:55 PM,Vietnam Airlines,1 hr 30 min,2024-06-14,"₫1,368,000"
248,SGN,DAD,10:15 PM,11:25 PM,Vietnam Airlines,1 hr 10 min,2024-06-14,"₫1,368,000"
249,SGN,DAD,10:30 PM,11:55 PM,Vietnam Airlines,1 hr 25 min,2024-06-14,"₫1,368,000"
250,SGN,DAD,10:10 PM,11:30 PM,VietJet Air,1 hr 20 min,2024-06-14,"₫1,382,600"
251,SGN,DAD,11:05 PM,12:25 AM+1,VietJet Air,1 hr 20 min,2024-06-14,"₫1,382,600"
252,SGN,DAD,5:35 AM,6:55 AM,VietJet Air,1 hr 20 min,2024-06-14,"₫1,544,600"
253,SGN,DAD,7:45 PM,9:05 PM,VietJet Air,1 hr 20 min,2024-06-14,"₫1,663,400"
254,SGN,DAD,8:30 PM,9:50 PM,VietJet Air,1 hr 20 min,2024-06-14,"₫1,663,400"
255,SGN,DAD,8:35 PM,9:55 PM,VietJet Air,1 hr 20 min,2024-06-14,"₫1,663,400"
256,SGN,DAD,6:00 AM,7:30 AM,Vietnam Airlines,1 hr 30 min,2024-06-14,"₫1,746,000"
